repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
cinemast/libjson-rpc-cpp,c2453c967b2059eeb77a387a0827c0cf87f816e0,54,21,33,0,0,0,0,546d7083118fea9531342becd030069804b39a43,166,31,128,7,0,0,0
clintbellanger/flare-engine,4fcdc4939a3544a5823b782dd90ae5b244a0eb10,290,41,149,0,0,100,0,f2918d2ce7d8176c8a33445e8bb33dccab93f909,291,14,204,1,0,72,0
cmangos/mangos-classic,806a7883c5827925450f89e0d280f6c967357c50,3003,827,2157,19,0,0,0,343d5851ef8053d17c9d540f071744a86fd323d5,4119,848,2190,26,0,1055,0
cmangos/mangos-wotlk,73cb0915ecfdd2694a0b7aa4bd9ba56e975638db,3015,837,2161,17,0,0,0,5c72a7f8302399a9c041acacf377c08d89d77a8e,5053,861,2227,25,0,1940,0
colobot/colobot,92a8140b778675a769440dc206b11b8012734bff,921,121,229,0,0,552,19,f67a62fb28c882b1650b827730bac72f404e2c47,524,524,0,0,0,0,0
commontk/CTK,f96b5014aac1d76468f03a708446cd334a8aba84,203,19,129,6,0,0,49,2ace7a3a58f1fe00fa47494c73966afce2d81ea0,139,15,73,2,0,0,49
commontk/DCMTK,d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d,18572,2611,4081,13,6,2386,9475,ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8,14174,1205,2171,73,2,1248,9475
cppformat/cppformat,c03f55ec3a0511611fa7f0537f858544a0ed03bd,61,6,41,0,0,14,0,251e8774b010b0e21ac774bd3196aabcd2f3b2d2,13,1,10,0,0,2,0
ddemidov/vexcl,9da8cb44da3cce1b3f1542fb4615069a208470ee,381,0,235,6,0,140,0,6cf94a715c054e9214c59b51fa3861fd7eca5f9d,31,2,11,0,0,18,0
deskvox/deskvox,96e52235b5397d800f15971594327bdd3d7eacc0,1369,391,720,2,0,256,0,9dc865c914b037299da11901c5a793cb6ff824d7,1371,409,676,5,0,281,0
dorkster/flare-engine-next,def388a7eecbfb2ac750e6b20507d5272d723dfc,324,41,179,1,0,103,0,5c74d8c8a954c2ea367c69a8efc8a60ce69ec892,341,13,244,2,0,82,0
edubart/otclient,8c731ac016d95407eed6c2767945a97fbdd4fa83,406,78,167,8,0,153,0,c01b32b03255989497ca5331de898804e6a39a1b,258,46,105,7,0,100,0
elemental/Elemental,351bc9460dcc58be62e9b42902e49640a97c0b0e,12900,14,179,29,19,1089,11570,f96177ebcc0ad2a6598579df0d9fcae1babe26f5,11699,2,95,27,0,5,11570
esa/pagmo,60d8566e2e771975fc84712fb46866007f9b3400,530,16,275,0,0,239,0,ea8777a49c9e8e6bff2e7ae9b7a45d419f223490,382,15,223,0,0,144,0
facebook/mysql-5.6,037c4910b360633160d97cc002c60576dea85393,14472,3839,10561,70,2,0,0,45f59a05cc6bcf72aa9322f5802cee6a6f98c211,14209,3590,10025,62,2,530,0
freundlich/fcppt,652b63c63e241376f535a470874adbcbd4e7f623,332,9,221,0,0,84,18,6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2,197,8,64,0,0,107,18
freundlich/mizuiro,e1a77ff94cf11f5d2515424a923886cb62cb02dc,413,0,383,0,0,30,0,4f5fe1d02598404283d3783333cddda87dc7418e,234,0,197,0,0,37,0
gnuradio/gnuradio,ac5109d25a9d94386429dd9e806268d29c8e2aac,1630,321,1053,16,0,240,0,fd52df0f706195d937e287189024f8aa6fbeaf60,1268,270,735,19,4,240,0
hluk/CopyQ,652ea527c37902566da9bcb152af3d1753426d4e,143,10,93,0,0,14,26,313d9245bb907d61b8e1b8530246d9033302e97b,52,2,12,1,0,11,26
hpcc-systems/HPCC-Platform,f2e903ffa48a4468f3718d516e240bd288719708,15892,3560,7563,192,0,2205,2372,a2eb7f9cb93700e77e38cbd31ed47af187229b5b,15191,3382,6952,318,0,2167,2372
imageworks/OpenColorIO,6b744f2b4543d16f77b3fe19ae05b67c56a13673,369,49,224,5,0,16,75,b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d,362,50,216,5,0,16,75
jbeder/yaml-cpp,0fdb1b910c1a31db80b7521446166d06cad10813,25,4,5,0,0,16,0,c335c8dd753c2b5f456a42e6dc33da16b7203713,23,4,4,0,0,15,0
juj/MathGeoLib,07680b7cfcca72c3f852dd248eb26e4ca3e26530,396,55,105,1,0,88,147,662276c250314488cb2e76dbb65c32c6ed1684c3,314,27,70,0,0,70,147
koreader/crengine,d0854294e0a9259d9c160b5fe9c91a123a63528b,9641,250,2681,122,0,333,6255,82509784f8e1fdbf9998f2806ace69babff9e15c,9859,1046,2108,129,0,321,6255
lalinsky/chromaprint,22daf0e01ce46145d916112094997c3003c298c8,84,6,32,2,0,7,37,33307a55f21f3bebbcb901ae525d4f383b0a0181,55,1,11,1,0,5,37
ledger/ledger,bc8136fa6fbb74febee99735c8bd603b1f12ddef,306,87,112,18,3,86,0,63a14fd5e0aeb64a0508ddac71803acc926425c5,356,87,156,18,3,92,0
libpinyin/libpinyin,2919d7d4b9facf175d4da33418dfbb9945f4bb15,215,22,174,19,0,0,0,230ee9362a2908e982ff7ff1766d070249cac5ca,182,15,117,0,0,50,0
libspatialindex/libspatialindex,4768bf3e9ce5ab80c639a6017f5c1e9d093ea515,2459,41,442,5,0,86,1885,9a39ed4c01ce4f5f54e236d716f467a22aca6968,2447,39,434,5,0,84,1885
lightspark/lightspark,308241eb55c5379765033e60f28dfdd956c7abcd,874,159,370,9,0,334,2,18956fb0c94992f98f707af12b4b107ed4631d25,489,131,226,5,0,125,2
lotem/librime,7f41f6527ffedcfccc16f7e4b93a3048f33cf19e,969,275,648,7,0,27,12,bb1f48a36a835bd31dd7cb64c4faf738c80cc75d,74,4,43,0,0,15,12
lxde/pcmanfm-qt,1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766,24,5,17,1,0,1,0,62990ca3954c0ab70d44d4381830b1d2d961c393,0,0,0,0,0,0,0
mangosthree/server,3014c5b370139db835dba70e860841e322b17849,1366,435,892,39,0,0,0,a4fe021054f1ae4779d4a1d44c2954871b72333b,6320,1668,4222,107,0,323,0
mavam/libbf,b6189bf6204d662294c9796f5f0e268251b5cebc,5,0,0,1,0,4,0,aafb2f1ab750b1a0d652aedea684123a1fbb0504,3,0,2,1,0,0,0
mempko/firestr,127c15179382ed9a032ffdda629750bb28f3aea0,318,76,155,2,0,85,0,727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad,265,48,128,1,0,88,0
mickem/nscp,f7a2c746ac423095fc2d5105ff7ba98a2721b8bf,4285,537,1193,25,0,143,2387,9fdde883b0ac8028232a6bd89466070861d0a8d3,4043,487,1110,38,0,21,2387
mlpack/mlpack,36470e9f6d3bf8d2f5e9202675c46b528881e4c1,72,7,65,0,0,0,0,cd12d5a188663151a0f6a5f1db07a7cb4a2f377a,160,6,86,4,0,64,0
mosra/corrade,29612cc341633fa26c4c74c55920cb21ed4dd0ed,114,35,59,10,0,7,3,402305e9e3f15dcb04e6f698e55f26d163f1fde5,50,4,38,0,0,5,3
msoos/cryptominisat,71e49ac7de4d3c104defa24556f92fbb8dded517,261,29,65,5,0,162,0,82c91dbfc7f585e455da835c330017811ebc058f,157,17,54,3,0,83,0
musescore/MuseScore,b520dcaf3c88b06d2e418adbe187806c37a6aaf0,3878,949,2247,72,0,610,0,3a836d7fd60ffbc608679d3d7f4a2851f87e2273,2109,646,1286,8,0,169,0
nickbruun/hayai,6959ca187e845f7fef1f0aa4704cbe695a8e2e45,6,0,6,0,0,0,0,c9d74ca1e78837c1d92a9dfa61138c60e286746a,2,1,1,0,0,0,0
openclonk/openclonk,3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3,2369,446,847,179,0,747,150,416a65acde056d1612ae2ab65bbadd56c250a71f,2239,470,854,56,0,709,150
opengm/opengm,3deaea58ba0cf9708c25cd03502e1cd9abec8875,94,3,13,3,0,75,0,9b059056ab99ed58072b5a092a23f2e4c4908386,75,3,4,0,0,68,0
openscenegraph/osg,2cefcc8bfc1cb5636633ca120f471cc37761be94,11970,2657,3596,28,0,1130,4559,28a9a235b6cecba439838d9dd92099ebfc0c2d3a,11570,2417,3282,30,0,1282,4559
orocos-toolchain/typelib,e220595fa4cce756ee2517d1536ec04dcd915baf,63,10,20,0,0,33,0,4092381fa7f8c03b053cb4b0bddca4c40932634a,48,11,29,0,0,8,0
percona/percona-server,57c5564bb53bb9c46068b08846969383685ea60a,15654,3408,12146,98,2,0,0,1ceebf693b6f6a0a9917d17fefe272cbc8b0e088,8319,2699,4783,55,4,778,0
quassel/quassel,0260fbe00ddbd1ce78b1870f40fce969b8f34ee5,275,36,119,0,0,81,39,24d1ad4c5918abf2f728cb98d556faef446c2d57,170,14,33,0,0,84,39
rime/librime,707738900168336a75219ae5fc69fa08cc71a4b8,970,275,648,7,0,28,12,85b4901a444cc754e2de7a9c7d722457567897ca,93,25,40,0,0,16,12
root-mirror/root,e08b0c8495457c9affb2ff5cd8e169acbe905bd0,24152,3767,13276,130,0,6979,0,02ceaf84ff0a5e7c206d342632a7fd1b48b41423,18154,5045,12946,163,0,0,0
sakra/cotire,516d78476f6dda336181fc5514f72774e1e0a8e2,1,0,0,0,0,0,1,1c37a8651b5ef848fd3dc038052334f337b3a404,1,0,0,0,0,0,1
samstyle/Xpeccy,e3948f819d10575a30970f28b2c324b84496454b,13395,179,491,10,0,170,12545,74ac092a259a36fe18193d6e6cb28e902c1ed672,13055,135,219,34,0,122,12545
saschazelzer/CppMicroServices,3b81b03f7e438f8600d33d319f03747fc8d74cf2,2771,164,468,7,0,107,2025,5693d645cc0c6147d2f59d533c423b40faa92499,2052,5,6,1,0,15,2025
scross99/locic,b4a1f9e83eb875c8cc906967205ae7639aa63cf5,126,9,29,0,0,36,52,0bf12d7ebb6c80f38f81891ee9470c6dea19c05b,99,0,3,1,0,43,52
simongog/sdsl-lite,e681b5fe6f03224c1019ecce8268b767a9c9ba2f,919,43,185,0,0,147,544,cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2,776,35,130,0,0,67,544
spring/pr-downloader,7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d,3516,66,662,2,0,44,2742,2242e6b6fb451b771c5042bdf38390f968f4eeeb,3685,204,551,3,0,185,2742
stevenlovegrove/Pangolin,31fe1b416a6e4e833c272eb9a67a3333d755361a,473,63,209,5,0,196,0,da62df163816e685d2fb3b91d913768d6b0ca58a,117,7,24,3,0,83,0
strasdat/Sophus,3f84e42a7a796bb6c9a1f57f5708911459a49221,2,0,0,0,0,2,0,6e9c6f976f428a38abab187ef893512db3fbe17e,1,0,0,0,0,1,0
stuntrally/stuntrally,83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9,1017,139,307,17,0,480,74,b272ca782feffbe41e5d43d8ddb56688e397455e,600,120,370,36,0,0,74
supercollider/sc3-plugins,5342a4ae8842c7361517001866e986c437f50648,2028,132,528,11,0,1045,312,c164af363d6866b29697d54cf91858cc4769d176,2072,217,629,15,0,899,312
supercollider/supercollider,cca12ff02a774a9ea212e8883551d3565bb24a6f,4755,564,4113,78,0,0,0,d74c81f9144f6f06ec79b40c87343f8a7a3890fe,6681,623,4313,60,0,1685,0
supertuxkart/stk-code,1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd,1921,590,1279,52,0,0,0,b1caec75a1d88b3797a73cdec121685fad7f1374,941,119,271,18,0,533,0
symengine/symengine,38781d745cab9bb45dd7358aa232031c8164eb44,1776,15,43,2,0,50,1666,ecf1914df4a94fd0a56013238f5b6f5a7da4060f,1675,3,0,0,0,6,1666
syndicodefront/infekt,e9cb001894913d3694431c88c6461a895a64a7a9,364,58,110,1,0,22,173,f0b561991b6a86ff16c79260da00930023d51fe1,376,63,100,0,0,40,173
taglib/taglib,cb9f07d9dcd791b63e622da43f7b232adaec0a9a,354,124,191,0,0,39,0,2d7414733eaa3263868c74abfa6cff38a8afe8d3,378,106,223,2,0,47,0
texus/TGUI,9e52329250317940daf636987b0985ada97f1de4,120,33,39,0,0,48,0,14b5bbd03cefb1ff03be64468c2b072c9af6942f,56,0,41,1,0,14,0
thesamet/rpcz,f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,52,25,25,0,0,2,0,0aa3f0227e795b840e989fc4abb0152e996e4df6,45,23,20,0,0,2,0
thewtex/tmux-mem-cpu-load,75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,23,3,20,0,0,0,0,c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,2,0,2,0,0,0,0
tpaviot/oce,41cc5b9007769de58fd7323a3c1ba729f2c0dc44,2817,972,1833,12,0,0,0,5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,5099,1507,3544,48,0,0,0
tumi8/vermont,b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,2520,152,448,1,0,202,1717,c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,2504,151,432,2,0,202,1717
ukoethe/vigra,fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,1338,53,68,1,0,475,741,5237e35507373218c38a7a57a131f0680f3e8a44,1316,49,50,1,0,475,741
user-none/Sigil,18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,15793,744,1501,16,0,252,13280,4d2586791f67e5042b81862483dedf35ae22474c,15602,407,1646,17,0,252,13280
vcmi/vcmi,8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,869,90,239,5,0,535,0,2848fb6fef18ea869eb0584627747475f200f309,878,93,245,5,0,535,0
vinipsmaker/tufao,0832f657926b580877f9d707d9d766d35885e07d,33,5,16,1,0,11,0,09cbe4e23e793684bd382e56c11ac9cdae5611d0,34,6,16,1,0,11,0
wesnoth/wesnoth,9e58caa5ff608e845c21048d61fff3856d913a22,985,244,436,13,0,292,0,050fbf73706c1dbe6c86c3c784e7ef91984ecd00,1015,252,523,6,0,234,0
xrootd/xrootd,a26c586cf9dd002d7655e834df5365daa083c5da,7931,2300,4558,39,0,1034,0,945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,6784,1952,3833,61,0,938,0
Total,,350720,45406,131677,2447,63,35112,136015,,315473,43802,107453,2319,52,25850,135996
