tool,warning description,type,subtype,type,subtype,type,subtype
Flawfinder, (buffer) wscanf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings ,,
Flawfinder, (crypto) EVP_des_cbc, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_des_cfb, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_des_ecb, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_des_ofb, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_desx_cbc, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_rc2_40_cbc, Security Features, Password Management: Weak Cryptography ,,,,
Flawfinder, (crypto) EVP_rc2_64_cbc, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) EVP_rc4_40, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (crypto) crypt, Security Features, Password Management: Weak Cryptography,,,,
Flawfinder, (format) _ftprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _snprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _sntprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _stprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _vftprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _vsntprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _vstprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) _vtprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) fprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) fwprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) printf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) snprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) sprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) swprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) syslog, Input Validation and Representation, Format String,,,,
Flawfinder, (format) vfprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vfwprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vsnprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vsprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vswprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) vwprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (format) wprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
Flawfinder, (free) memalign, API Abuse, Dangerous Function, Code Quality, Inconsistent Implementations, Code Quality, Obsolete
Flawfinder, (integer) _wtoi, Input Validation and Representation, Integer Overflow,,,,
Flawfinder, (integer) _wtoi64, Input Validation and Representation, Integer Overflow,,,,
Flawfinder, (integer) atoi, Input Validation and Representation, Integer Overflow,,,,
Flawfinder, (integer) atol, Input Validation and Representation, Integer Overflow,,,,
Flawfinder, (misc) AddAccessAllowedAce, Security Features, Missing Access Control ,,,,
Flawfinder, (misc) EnterCriticalSection, API Abuse, Often Misused: Exception Handling ,,,,
Flawfinder, (misc) InitializeCriticalSection, API Abuse, Often Misused: Exception Handling ,,,,
Flawfinder, (misc) LoadLibrary, Input Validation and Representation, Process Control ,,,,
Flawfinder, (misc) LoadLibraryEx, Input Validation and Representation, Process Control,,,,
Flawfinder, (misc) SetSecurityDescriptorDacl, Security Features, Missing Access Control, Input Validation and Representation, Setting Manipulation,,
Flawfinder, (misc) chroot, API Abuse, Directory Restriction,,,,
Flawfinder, (misc) cuserid, API Abuse, Often Misused: Authentication,,,,
Flawfinder, (misc) fopen, Input Validation and Representation, Path Manipulation,,,,
Flawfinder, (misc) getlogin, API Abuse, Often Misused: Authentication,,,,
Flawfinder, (misc) getpass, API Abuse, Dangerous Function, Code Quality, Obsolete, Security Features, Password Management
Flawfinder, (misc) open, Input Validation and Representation, Path Manipulation,,,,
Flawfinder, (obsolete) ulimit, API Abuse, Dangerous Function, Code Quality, Obsolete,,
Flawfinder, (obsolete) usleep, API Abuse, Dangerous Function, Code Quality, Obsolete,,
Flawfinder, (port) snprintf, Code Quality, Inconsistent Implementations,,,,
Flawfinder, (port) vsnprintf, Code Quality, Inconsistent Implementations,,,,
Flawfinder, (race) access, Time and State, File Access Race Condition: TOCTOU ,,,,
Flawfinder, (race) chmod, Time and State, File Access Race Condition: TOCTOU,,,,
Flawfinder, (race) chown, Time and State, File Access Race Condition: TOCTOU,,,,
Flawfinder, (race) readlink,Time and State, File Access Race Condition: TOCTOU, Input Validation and Representation, String Termination Error,,
Flawfinder, (race) vfork, Time and State, File Access Race Condition: TOCTOU, API Abuse, Dangerous Function,,
Flawfinder, (random) drand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) erand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) jrand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) lcong48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) lrand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) mrand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) nrand48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) random, Security Features, Insecure Randomness,,,,
Flawfinder, (random) seed48, Security Features, Insecure Randomness,,,,
Flawfinder, (random) setstate, Security Features, Insecure Randomness,,,,
Flawfinder, (random) srand, Security Features, Insecure Randomness,,,,
Flawfinder, (random) srandom, Security Features, Insecure Randomness,,,,
Flawfinder, (shell) CreateProcess, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) CreateProcessAsUser, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) ShellExecute, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) WinExec, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) execl, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) execle,Input Validation and Representation, Command Injection ,,,,
Flawfinder, (shell) execlp, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) execv, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) execvp,Input Validation and Representation, Command Injection ,,,,
Flawfinder, (shell) popen, Input Validation and Representation, Command Injection,,,,
Flawfinder, (shell) system, Input Validation and Representation, Command Injection,,,,
Flawfinder, (tmpfile) GetTempFileName, Time and State, Insecure Temporary File,,,,
Flawfinder, (tmpfile) mkstemp, Time and State, Insecure Temporary File,,,,
Flawfinder, (tmpfile) mktemp, Time and State, Insecure Temporary File,,,,
Flawfinder, (tmpfile) tempnam, Time and State, Insecure Temporary File,,,,
Flawfinder, (tmpfile) tmpfile, Time and State, Insecure Temporary File,,,,
Flawfinder, (tmpfile) tmpnam, Time and State, Insecure Temporary File,,,,
PVS-Studio, V002,Tool_error,Tool_error,,,,
PVS-Studio, V006,Tool_error,Tool_error,,,,
PVS-Studio, V501, Code Quality, General ,,,,
PVS-Studio, V502, Code Quality, General ,,,,
PVS-Studio, V503, Code Quality, General ,,,,
PVS-Studio, V505, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V506, Input Validation and Representation, Illegal Pointer Value ,,,,
PVS-Studio, V507, Input Validation and Representation, Illegal Pointer Value ,,,,
PVS-Studio, V508, Code Quality, General ,,,,
PVS-Studio, V509, API Abuse, Often Misused: Exception Handling,,,,
PVS-Studio, V510, Code Quality, General,,,,
PVS-Studio, V511, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V512, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V514, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V515, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V516, Code Quality, General ,,,,
PVS-Studio, V517, Code Quality, General,,,,
PVS-Studio, V518, Input Validation and Representation, String Termination Error,,,,
PVS-Studio, V519, Code Quality, General,,,,
PVS-Studio, V520, Code Quality, General ,,,,
PVS-Studio, V521, Code Quality, General ,,,,
PVS-Studio, V522, Code Quality, Null Dereference ,,,,
PVS-Studio, V523, Code Quality, General ,,,,
PVS-Studio, V524, Code Quality, General ,,,,
PVS-Studio, V525, Code Quality, General ,,,,
PVS-Studio, V526, Code Quality, General ,,,,
PVS-Studio, V527, Code Quality, Undefined Behavior ,,,,
PVS-Studio, V528, Code Quality, Undefined Behavior ,,,,
PVS-Studio, V529, Code Quality, General ,,,,
PVS-Studio, V530, API Abuse, Unchecked Return Value ,,,,
PVS-Studio, V531, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V532, Code Quality, General,,,,
PVS-Studio, V534, Code Quality, General ,,,,
PVS-Studio, V535, Code Quality, General ,,,,
PVS-Studio, V536, Code Quality, General ,,,,
PVS-Studio, V537, Code Quality, General ,,,,
PVS-Studio, V539, API Abuse, General,,,,
PVS-Studio, V541, Input Validation and Representation, Format String,,,,
PVS-Studio, V542, Code Quality, General,,,,
PVS-Studio, V546, Code Quality, General,,,,
PVS-Studio, V547, Code Quality, General,,,,
PVS-Studio, V548, Code Quality, General,,,,
PVS-Studio, V549, API Abuse, General,,,,
PVS-Studio, V550, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V553, Code Quality, General,,,,
PVS-Studio, V554, Code Quality, Undefined Behavior,,,,
PVS-Studio, V555, Code Quality, General,,,,
PVS-Studio, V556, Code Quality, General,,,,
PVS-Studio, V557, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V558, Code Quality, Undefined Behavior ,,,,
PVS-Studio, V559, Code Quality, General ,,,,
PVS-Studio, V560, Code Quality, General ,,,,
PVS-Studio, V561, Code Quality, General,,,,
PVS-Studio, V562, Code Quality, General,,,,
PVS-Studio, V563, Code Quality, General,,,,
PVS-Studio, V564, Code Quality, General,,,,
PVS-Studio, V565, Errors, Empty Catch Block,,,,
PVS-Studio, V566, Code Quality, Inconsistent Implementations, Input Validation and Representation, General,,
PVS-Studio, V567, Code Quality, Undefined Behavior,,,,
PVS-Studio, V568, Code Quality, General ,,,,
PVS-Studio, V569, Input Validation and Representation, General,,,,
PVS-Studio, V570, Code Quality, General ,,,,
PVS-Studio, V571, Code Quality, General ,,,, 
PVS-Studio, V572, Code Quality, General,,,,
PVS-Studio, V573, Code Quality, Uninitialized Variable ,,,,
PVS-Studio, V574, Code Quality, General,,,,
PVS-Studio, V575, API Abuse, General,,,,
PVS-Studio, V576, API Abuse, Often Misused: Strings, Input Validation and Representation, Format String,,
PVS-Studio, V578, Code Quality, General,,,,
PVS-Studio, V579, API Abuse, General,,,,
PVS-Studio, V580, Code Quality, General,,,,
PVS-Studio, V581, Code Quality, General,,,,
PVS-Studio, V583, Code Quality, General,,,,
PVS-Studio, V584, Code Quality, General,,,,
PVS-Studio, V586, Code Quality, Double Free,,,,
PVS-Studio, V587, Code Quality, General ,,,,
PVS-Studio, V588, Code Quality, General ,,,,
PVS-Studio, V589, Code Quality, General ,,,,
PVS-Studio, V590, Code Quality, General ,,,,
PVS-Studio, V591, API Abuse, Unchecked Return Value ,,,,
PVS-Studio, V592, Code Quality, General ,,,,
PVS-Studio, V593, Code Quality, General ,,,,
PVS-Studio, V595, Code Quality, Null Dereference,,,,
PVS-Studio, V596, API Abuse, Often Misused: Exception Handling,,,,
PVS-Studio, V597, Environment, Insecure Compiler Optimization,,,,
PVS-Studio, V598, Code Quality, Undefined Behavior,,,,
PVS-Studio, V599, Code Quality, Memory Leak,,,,
PVS-Studio, V600, Code Quality, General ,,,,
PVS-Studio, V601, Code Quality, General ,,,,
PVS-Studio, V602, Code Quality, General ,,,,
PVS-Studio, V603, Code Quality, General ,,,,
PVS-Studio, V605, Code Quality, General ,,,,
PVS-Studio, V606, Code Quality, General ,,,,
PVS-Studio, V607, Code Quality, General ,,,,
PVS-Studio, V610, Code Quality, Undefined Behavior,,,,
PVS-Studio, V611, Code Quality, Undefined Behavior,,,,
PVS-Studio, V612, Code Quality, General,,,,
PVS-Studio, V613, Code Quality, Undefined Behavior,,,,
PVS-Studio, V614, Code Quality, Uninitialized Variable ,,,,
PVS-Studio, V615, Code Quality, General,,,,
PVS-Studio, V616, Code Quality, General,,,,
PVS-Studio, V617, Code Quality, General,,,,
PVS-Studio, V618, API Abuse, Often Misused: Strings, Input Validation and Representation, Format String,,
PVS-Studio, V619, Code Quality, General,,,,
PVS-Studio, V620, Code Quality, Undefined Behavior,,,,
PVS-Studio, V621, Code Quality, General,,,,
PVS-Studio, V622, Code Quality, General,,,,
PVS-Studio, V623, Code Quality, Use After Free,,,,
PVS-Studio, V624, Code Quality, General,,,,
PVS-Studio, V625, Code Quality, General,,,,
PVS-Studio, V628, Code Quality, General,,,,
PVS-Studio, V629, Input Validation and Representation, Integer Overflow,,,,
PVS-Studio, V630, Code Quality, Uninitialized Variable ,,,,
PVS-Studio, V631, API Abuse, Often Misused: File System, Input Validation and Representation, Path Manipulation,,
PVS-Studio, V634, Code Quality, General,,,,
PVS-Studio, V636, Input Validation and Representation, Integer Overflow,,,,
PVS-Studio, V637, Code Quality, General,,,,
PVS-Studio, V638, Code Quality, General,,,,
PVS-Studio, V639, API Abuse, General,,,,
PVS-Studio, V640, Code Quality, General,,,,
PVS-Studio, V641, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V642, Input Validation and Representation, General,,,,
PVS-Studio, V644, Code Quality, Unreleased Resource,,,,
PVS-Studio, V645, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V646, Code Quality, General,,,,
PVS-Studio, V647, Code Quality, Undefined Behavior,,,,
PVS-Studio, V648, Code Quality, General,,,,
PVS-Studio, V649, Code Quality, General,,,,
PVS-Studio, V650, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V653, Code Quality, General,,,,
PVS-Studio, V654, Code Quality, General,,,,
PVS-Studio, V656, Code Quality, General,,,,
PVS-Studio, V658, Input Validation and Representation, Integer Overflow,,,,
PVS-Studio, V659, Code Quality, General,,,,
PVS-Studio, V661, Code Quality, General,,,,
PVS-Studio, V663, Code Quality, General,,,,
PVS-Studio, V664, Code Quality, Null Dereference,,,,
PVS-Studio, V666, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V667, Errors, Empty Catch Block,,,,
PVS-Studio, V668, Code Quality, General,,,,
PVS-Studio, V669, Code Quality, General,,,,
PVS-Studio, V670, Code Quality, Uninitialized Variable,,,,
PVS-Studio, V672, Code Quality, General,,,,
PVS-Studio, V673, Input Validation and Representation, Integer Overflow,,,,
PVS-Studio, V674, Code Quality, Undefined Behavior,,,,
PVS-Studio, V676, Code Quality, General,,,,
PVS-Studio, V677, Code Quality, Inconsistent Implementations,,,,
PVS-Studio, V678, API Abuse, General,,,,
PVS-Studio, V681, API Abuse, General,,,,
PVS-Studio, V683, Input Validation and Representation, Integer Overflow,,,,
PVS-Studio, V684, Code Quality, Undefined Behavior,,,,
PVS-Studio, V685, Code Quality, General,,,,
PVS-Studio, V688, Code Quality, General,,,,
PVS-Studio, V690, Code Quality, Undefined Behavior,,,,
PVS-Studio, V691, Code Quality, General,,,,
PVS-Studio, V696, Code Quality, General,,,,
PVS-Studio, V699, Code Quality, General,,,,
PVS-Studio, V701, Code Quality, Memory Leak,,,,
PVS-Studio, V703, Code Quality, General,,,,
PVS-Studio, V704, Code Quality, General,,,,
PVS-Studio, V705, Code Quality, General,,,,
PVS-Studio, V707, Code Quality, General,,,,
PVS-Studio, V711, Code Quality, General,,,,
PVS-Studio, V712, Code Quality, General,,,,
PVS-Studio, V713, Code Quality, Null Dereference,,,,
PVS-Studio, V715, Code Quality, General,,,,
PVS-Studio, V717, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V719, Code Quality, General,,,,
PVS-Studio, V724, Code Quality, General,,,,
PVS-Studio, V728, Code Quality, General,,,,
PVS-Studio, V729, Code Quality, General,,,,
PVS-Studio, V730, Code Quality, Uninitialized Variable,,,,
PVS-Studio, V732, Code Quality, General,,,,
PVS-Studio, V735, Input Validation and Representation, HTTP Response Splitting,,,,
PVS-Studio, V738, Code Quality, Undefined Behavior,,,,
PVS-Studio, V739, Input Validation and Representation, Resource Injection,,,,
PVS-Studio, V741, API Abuse, Often Misused: Exception Handling,,,,
PVS-Studio, V742, Input Validation and Representation, String Termination Error,,,,
PVS-Studio, V746, API Abuse, Often Misused: Exception Handling,,,,
PVS-Studio, V751, Code Quality, General,,,,
PVS-Studio, V753, Code Quality, General,,,,
PVS-Studio, V755, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V756, Code Quality, General,,,,
PVS-Studio, V757, Code Quality, Null Dereference ,,,,
PVS-Studio, V759, API Abuse, Often Misused: Exception Handling,,,,
PVS-Studio, V760, Code Quality, General,,,,
PVS-Studio, V761, Code Quality, General,,,,
PVS-Studio, V762, Code Quality, General,,,,
PVS-Studio, V763, Code Quality, General,,,,
PVS-Studio, V764, API Abuse, General,,,,
PVS-Studio, V765, Code Quality, General,,,,
PVS-Studio, V767, Code Quality, General,,,,
PVS-Studio, V768, Code Quality, General,,,,
PVS-Studio, V769, Input Validation and Representation, Buffer Overflow,,,,
PVS-Studio, V772, Code Quality, Undefined Behavior,,,,
PVS-Studio, V773, Code Quality, Memory Leak,,,,
PVS-Studio, V774, Code Quality, Use After Free,,,,
PVS-Studio, V776, Code Quality, General,,,,
PVS-Studio, V778, Code Quality, Undefined Behavior,,,,
PVS-Studio, V779, Code Quality, General,,,,
RATS, AddAccessAllowedAce, Security Features, Missing Access Control ,,,,
RATS, BUF_MEM_grow, Input Validation and Representation, Buffer Overflow,,,,
RATS, CRYPTO_free, Code Quality, Memory Leak,,,,
RATS, CreateProcess, Input Validation and Representation, Command Injection,,,,
RATS, CreateProcessAsUser, Input Validation and Representation, Command Injection,,,,
RATS, ERR_error_string, Code Quality, Obsolete,,,,
RATS, EVP_CipherUpdate, Input Validation and Representation, Buffer Overflow ,,,,
RATS, EVP_DecryptUpdate, Input Validation and Representation, Buffer Overflow,,,,
RATS, EVP_EncryptUpdate, Input Validation and Representation, Buffer Overflow ,,,,
RATS, EnterCriticalSection, API Abuse, Often Misused: Exception Handling ,,,,
RATS, GetTempFileName, Time and State, Insecure Temporary File,,,,
RATS, GetTempFileNameA, Time and State, Insecure Temporary File,,,,
RATS, GetTempFileNameW, Time and State, Insecure Temporary File ,,,,
RATS, GetTempPath, Input Validation and Representation, Path Manipulation,,,,
RATS, GetTempPathA, Input Validation and Representation, Path Manipulation ,,,,
RATS, GetTempPathW, Input Validation and Representation, Path Manipulation,,,,
RATS, ImpersonateLoggedOnUser, API Abuse, Often Misused: Privilege Management, Security Features, Least Privilege Violation,,
RATS, LoadLibrary, Input Validation and Representation, Process Control,,,,
RATS, LoadLibraryA, Input Validation and Representation, Process Control ,,,,
RATS, LoadLibraryEx, Input Validation and Representation, Process Control ,,,,
RATS, LoadLibraryW, Input Validation and Representation, Process Control, ,,,
RATS, OPENSSL_free, Code Quality, Memory Leak,,,,
RATS, OemToCharA, Input Validation and Representation, Buffer Overflow, API Abuse, Dangerous Function ,,
RATS, PathAddBackslash, Input Validation and Representation, Buffer Overflow ,,,,
RATS, PathAddExtension, Input Validation and Representation, Buffer Overflow ,,,,
RATS, PathAppend, Input Validation and Representation, Buffer Overflow ,,,,
RATS, PathAppendA, Input Validation and Representation, Buffer Overflow ,,,,
RATS, PathCanonicalize, Input Validation and Representation, Buffer Overflow ,,,,
RATS, SetSecurityDescriptorDacl, Security Features, Missing Access Control, Input Validation and Representation, Setting Manipulation,,
RATS, ShellExecute, Input Validation and Representation, Command Injection,,,,
RATS, ShellExecuteA, Input Validation and Representation, Command Injection,,,,
RATS, ShellExecuteEx, Input Validation and Representation, Command Injection,,,,
RATS, ShellExecuteW, Input Validation and Representation, Command Injection,,,,
RATS, StrCat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings ,,
RATS, WinExec, Input Validation and Representation, Command Injection ,,,,
RATS, X509_NAME_oneline, Input Validation and Representation, Buffer Overflow,,,,
RATS, _execvp, Input Validation and Representation, Process Control ,,,,
RATS, _ftprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
RATS, _spawnv, Input Validation and Representation, Process Control ,,,,
RATS, _spawnvp, Input Validation and Representation, Process Control ,,,,
RATS, _stprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
RATS, _tcscat, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
RATS, _tcscpy, Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings,,
RATS, _tprintf, Input Validation and Representation, Format String, API Abuse, Often Misused: Strings,,
RATS, _wexecvp, Input Validation and Representation, Process Control ,,,,
RATS, _wsystem, Input Validation and Representation, Process Control ,,,,
RATS, access, Time and State, File Access Race Condition: TOCTOU ,,,,
RATS, backtick, Input Validation and Representation, Process Control,,,,
