repository,v1,total_bug1,rats1,flawfinder1,cppcheck1,clang1,pvs_studio1,parasoft1,v2,total_bug2,rats2,flawfinder2,cppcheck2,clang2,pvs_studio2,parasoft2
taglib/taglib,cb9f07d9dcd791b63e622da43f7b232adaec0a9a,     354,     124,     191,       0,       0,      39,       0,2d7414733eaa3263868c74abfa6cff38a8afe8d3,     378,     106,     223,       2,       0,      47,       0
tesseract-ocr/tesseract,fb359fc981f048328bee206fbcf69f2218ae1ee0,    1242,     224,     590,      15,       0,     404,       9,38f3db8ca52ea6a4f3697fc15c9acb827be758b8,    1577,     237,     647,       6,       0,     678,       9
texus/TGUI,9e52329250317940daf636987b0985ada97f1de4,     120,      33,      39,       0,       0,      48,       0,14b5bbd03cefb1ff03be64468c2b072c9af6942f,      56,       0,      41,       1,       0,      14,       0
thesamet/rpcz,f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,      52,      25,      25,       0,       0,       2,       0,0aa3f0227e795b840e989fc4abb0152e996e4df6,      45,      23,      20,       0,       0,       2,       0
thestk/rtaudio,e880888795c07fea44a5e6c7570bf09677527f37,     175,      20,     150,       1,       0,       4,       0,3a3d648108cdaa53d1199aa3c15a4b8878693f65,     175,      20,     150,       1,       0,       4,       0
thewtex/tmux-mem-cpu-load,75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,      23,       3,      20,       0,       0,       0,       0,c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,       2,       0,       2,       0,       0,       0,       0
tpaviot/oce,41cc5b9007769de58fd7323a3c1ba729f2c0dc44,    2817,     972,    1833,      12,       0,       0,       0,5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,    5099,    1507,    3544,      48,       0,       0,       0
triAGENS/ArangoDB,9b22174c66d1c805c0c6baac4397ca9933ee0c18,   21200,     377,   12266,      72,       3,     639,    7843,39fd596abcd878e918435d10928e79e1f3ef2359,   11420,       0,    2903,      35,       0,     639,    7843
tstack/lnav,d9c42cdc29ecd899cb68a958d3672abf466ea5c5,     728,     234,     494,       0,       0,       0,       0,708490e3b05ce5ca23ae0079ace5eda23741943a,     532,     168,     364,       0,       0,       0,       0
tudelft-gist/val3dity,657589d04c5b51d1fdee73ebbb8c25905064018b,      97,      15,      58,       0,       0,      24,       0,a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7,      25,       0,       1,       0,       0,      24,       0
tudelft3d/val3dity,657589d04c5b51d1fdee73ebbb8c25905064018b,      97,      15,      58,       0,       0,      24,       0,a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7,      25,       0,       1,       0,       0,      24,       0
tumi8/vermont,b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,    2520,     152,     448,       1,       0,     202,    1717,c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,    2504,     151,     432,       2,       0,     202,    1717
ukoethe/vigra,fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,    1338,      53,      68,       1,       0,     475,     741,5237e35507373218c38a7a57a131f0680f3e8a44,    1316,      49,      50,       1,       0,     475,     741
user-none/Sigil,18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,   15793,     744,    1501,      16,       0,     252,   13280,4d2586791f67e5042b81862483dedf35ae22474c,   15602,     407,    1646,      17,       0,     252,   13280
vcmi/vcmi,8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,     869,      90,     239,       5,       0,     535,       0,2848fb6fef18ea869eb0584627747475f200f309,     878,      93,     245,       5,       0,     535,       0
vinipsmaker/tufao,0832f657926b580877f9d707d9d766d35885e07d,      33,       5,      16,       1,       0,      11,       0,09cbe4e23e793684bd382e56c11ac9cdae5611d0,      34,       6,      16,       1,       0,      11,       0
vle-forge/vle,16a7d21646e4a7a176b23fac921b1a5863f23359,     395,     111,     149,       1,       0,     121,      13,c570afd193aaaa648a0173a92007451495116366,     231,      35,      58,       4,       0,     121,      13
vogel/kadu,1ac3dfa68c2cc0b59588c3ae942ce33d74249d06,     103,      20,      83,       0,       0,       0,       0,15d15da1bc420f22eb8a3cc2486a3184a20a7e6b,     152,      27,     123,       2,       0,       0,       0
wdas/ptex,59eac370e52af48a3f4dab77a60f91523c3e70ac,     555,      14,      60,       2,       0,      14,     465,3492a71feb967d2844805eb3228cb72af5bc451b,     555,      14,      60,       2,       0,      14,     465
wesnoth/wesnoth,9e58caa5ff608e845c21048d61fff3856d913a22,     985,     244,     436,      13,       0,     292,       0,050fbf73706c1dbe6c86c3c784e7ef91984ecd00,    1015,     252,     523,       6,       0,     234,       0
worldforge/libwfut,7e003179283a3a2643199cff9c5b9242b9d13f08,     186,      50,     120,       2,       0,      14,       0,c885c0d4ea51b8347893390b33e631d9dd8a288d,     186,      50,     120,       2,       0,      14,       0
xoreos/xoreos,a1bea660ce5cc74fa19a9d13afd85acdb2b56de0,     943,     165,     422,       3,       0,     321,      32,494d9ea9c4c187dd21664e33c8a521bad62e5a05,     828,     147,     368,       4,       0,     277,      32
xournalpp/xournalpp,62312496092f5f717246f87d2ca85a739f609adb,    3444,     364,     991,       5,       0,    2084,       0,38d235d457e8f25ec9e759421d078586c4fe7553,    3444,     364,     991,       5,       0,    2084,       0
xrootd/xrootd,a26c586cf9dd002d7655e834df5365daa083c5da,    7931,    2300,    4558,      39,       0,    1034,       0,945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,    6784,    1952,    3833,      61,       0,     938,       0
zeromq/libzmq,cfef04035c7eb9b1c2a64d785d1881bc80977478,    1237,      59,     412,       0,       0,      71,     695,9d9592f8307dc18c41a5878fe366a105884a8bf4,    1089,      42,     280,       1,       0,      71,     695
zeromq/zeromq4-1,a3f98304da9024f2d0ac4e838a646c231ddff5ee,    1146,      51,     346,       1,       0,      53,     695,384f8522aa22ff595802ef1c0d8da11ccd81b862,    1146,      51,     346,       1,       0,      53,     695
zeux/pugixml,a569e6a737714d33fe30284abcc2f1af1f856127,      85,      15,      53,       0,       0,      17,       0,f53bddd7d5c79c35145ab506e48b18c457026543,      85,      15,      53,       0,       0,      17,       0
