taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, examples/tagreader.cpp,35, fixed size local buffer, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apeproperties.cpp,71, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apeproperties.cpp,119, read, taglib/ape/apeproperties.cpp,145, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apetag.cpp,75, read, taglib/ape/apetag.cpp,106, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ape/apetag.cpp,332, read, taglib/ape/apetag.cpp,369, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/asf/asffile.cpp,375, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/asf/asffile.cpp,382, read, taglib/asf/asffile.cpp,434, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/asf/asffile.cpp,382, read, taglib/asf/asffile.cpp,435, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/asf/asffile.cpp,409, read, taglib/asf/asffile.cpp,536, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacfile.cpp,111, read, taglib/flac/flacfile.cpp,119, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacfile.cpp,120, read, taglib/flac/flacfile.cpp,128, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacfile.cpp,129, read, taglib/flac/flacfile.cpp,137, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacfile.cpp,305, read, taglib/flac/flacfile.cpp,336, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacproperties.cpp,67, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacproperties.cpp,73, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/flac/flacproperties.cpp,120, read, taglib/flac/flacproperties.cpp,131, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/it/itfile.cpp,48, read, taglib/it/itfile.cpp,54, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/it/itfile.cpp,56, read, taglib/it/itfile.cpp,63, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/it/itfile.cpp,195, read, taglib/it/itfile.cpp,202, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mod/modfile.cpp,48, read, taglib/mod/modfile.cpp,54, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mod/modfile.cpp,56, read, taglib/mod/modfile.cpp,63, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mod/modfile.cpp,106, read, taglib/mod/modfile.cpp,113, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mp4/mp4file.cpp,70, read, taglib/mp4/mp4file.cpp,95, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mp4/mp4file.cpp,77, read, taglib/mp4/mp4file.cpp,103, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mp4/mp4file.cpp,110, read, taglib/mp4/mp4file.cpp,139, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpc/mpcfile.cpp,97, read, taglib/mpc/mpcfile.cpp,100, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpc/mpcfile.cpp,104, read, taglib/mpc/mpcfile.cpp,108, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpc/mpcfile.cpp,266, read, taglib/mpc/mpcfile.cpp,277, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/id3v1/id3v1tag.cpp,95, read, taglib/mpeg/id3v1/id3v1tag.cpp,100, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/id3v1/id3v1tag.cpp,207, read, taglib/mpeg/id3v1/id3v1tag.cpp,222, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/id3v2/id3v2tag.cpp,116, read, taglib/mpeg/id3v2/id3v2tag.cpp,127, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/id3v2/id3v2tag.cpp,626, read, taglib/mpeg/id3v2/id3v2tag.cpp,670, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegfile.cpp,104, read, taglib/mpeg/mpegfile.cpp,137, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegfile.cpp,114, read, taglib/mpeg/mpegfile.cpp,146, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegfile.cpp,124, read, taglib/mpeg/mpegfile.cpp,155, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegfile.cpp,459, read, taglib/mpeg/mpegfile.cpp,488, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegproperties.cpp,82, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/mpeg/mpegproperties.cpp,149, read, taglib/mpeg/mpegproperties.cpp,156, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/flac/oggflacfile.cpp,75, read, taglib/ogg/flac/oggflacfile.cpp,91, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/flac/oggflacfile.cpp,82, read, taglib/ogg/flac/oggflacfile.cpp,100, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/flac/oggflacfile.cpp,131, read, taglib/ogg/flac/oggflacfile.cpp,164, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/oggpageheader.cpp,80, read, taglib/ogg/oggpageheader.cpp,73, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/oggpageheader.cpp,235, read, taglib/ogg/oggpageheader.cpp,228, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/speex/speexfile.cpp,65, read, taglib/ogg/speex/speexfile.cpp,78, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/speex/speexfile.cpp,72, read, taglib/ogg/speex/speexfile.cpp,86, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/speex/speexfile.cpp,104, read, taglib/ogg/speex/speexfile.cpp,128, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/speex/speexproperties.cpp,73, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/speex/speexproperties.cpp,110, read, taglib/ogg/speex/speexproperties.cpp,124, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/vorbis/vorbisfile.cpp,70, read, taglib/ogg/vorbis/vorbisfile.cpp,83, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/vorbis/vorbisfile.cpp,77, read, taglib/ogg/vorbis/vorbisfile.cpp,91, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/vorbis/vorbisfile.cpp,122, read, taglib/ogg/vorbis/vorbisfile.cpp,136, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/vorbis/vorbisproperties.cpp,78, read, NA, NA, NA, Deleted, NA, NA, NA, FFP3, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/ogg/vorbis/vorbisproperties.cpp,130, read, taglib/ogg/vorbis/vorbisproperties.cpp,137, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aifffile.cpp,67, read, taglib/riff/aiff/aifffile.cpp,78, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aifffile.cpp,75, read, taglib/riff/aiff/aifffile.cpp,86, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aifffile.cpp,125, read, taglib/riff/aiff/aifffile.cpp,154, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aiffproperties.cpp,109, read, taglib/riff/aiff/aiffproperties.cpp,71, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aiffproperties.cpp,151, read, taglib/riff/aiff/aiffproperties.cpp,143, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aiffproperties.cpp,151, read, taglib/riff/aiff/aiffproperties.cpp,148, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/aiff/aiffproperties.cpp,151, read, taglib/riff/aiff/aiffproperties.cpp,151, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/rifffile.cpp,79, read, taglib/riff/rifffile.cpp,80, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/rifffile.cpp,88, read, taglib/riff/rifffile.cpp,88, read, Constant, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/rifffile.cpp,251, read, taglib/riff/rifffile.cpp,282, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavfile.cpp,73, read, taglib/riff/wav/wavfile.cpp,85, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavfile.cpp,81, read, taglib/riff/wav/wavfile.cpp,93, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavfile.cpp,163, read, taglib/riff/wav/wavfile.cpp,203, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavproperties.cpp,68, read, taglib/riff/wav/wavproperties.cpp,71, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavproperties.cpp,74, read, taglib/riff/wav/wavproperties.cpp,85, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavproperties.cpp,116, read, taglib/riff/wav/wavproperties.cpp,147, read, Altered, Constant, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavproperties.cpp,116, read, taglib/riff/wav/wavproperties.cpp,154, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/riff/wav/wavproperties.cpp,116, read, taglib/riff/wav/wavproperties.cpp,175, NA, Altered, Constant, No, NA, FFP2, Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/s3m/s3mfile.cpp,50, read, taglib/s3m/s3mfile.cpp,56, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/s3m/s3mfile.cpp,58, read, taglib/s3m/s3mfile.cpp,65, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
taglib/taglib, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, RATS, taglib/s3m/s3mfile.cpp,142, read, taglib/s3m/s3mfile.cpp,149, read, Moved, Changed, Yes, Constant, TFP , Input Validation and Representation, Buffer Overflow ,,,,
