Repo,date1,commit1,date2,commit2,arg,before
sakra/cotire,16-Jun-17,516d78476f6dda336181fc5514f72774e1e0a8e2,1-Nov-12,1c37a8651b5ef848fd3dc038052334f337b3a404,,
samstyle/Xpeccy,3-Oct-17,e3948f819d10575a30970f28b2c324b84496454b,27-Oct-12,74ac092a259a36fe18193d6e6cb28e902c1ed672,,
saschazelzer/CppMicroServices,1-Jun-17,3b81b03f7e438f8600d33d319f03747fc8d74cf2,29-Jun-12,5693d645cc0c6147d2f59d533c423b40faa92499,,
scross99/locic,28-May-17,b4a1f9e83eb875c8cc906967205ae7639aa63cf5,23-May-12,0bf12d7ebb6c80f38f81891ee9470c6dea19c05b,,
simongog/sdsl-lite,4-Oct-17,e681b5fe6f03224c1019ecce8268b767a9c9ba2f,31-Oct-12,cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2,,
spring/pr-downloader,3-Oct-17,7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d,31-Dec-12,2242e6b6fb451b771c5042bdf38390f968f4eeeb,,
stevenlovegrove/Pangolin,12-Oct-17,31fe1b416a6e4e833c272eb9a67a3333d755361a,26-Oct-12,da62df163816e685d2fb3b91d913768d6b0ca58a,,
strasdat/Sophus,14-Oct-17,3f84e42a7a796bb6c9a1f57f5708911459a49221,21-Dec-12,6e9c6f976f428a38abab187ef893512db3fbe17e,,
stuntrally/stuntrally,25-Jul-17,83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9,31-Jul-12,b272ca782feffbe41e5d43d8ddb56688e397455e,,
supercollider/sc3-plugins,11-Aug-17,5342a4ae8842c7361517001866e986c437f50648,27-Nov-12,c164af363d6866b29697d54cf91858cc4769d176,,
supercollider/supercollider,6-Sep-17,cca12ff02a774a9ea212e8883551d3565bb24a6f,28-Sep-12,d74c81f9144f6f06ec79b40c87343f8a7a3890fe,,
supertuxkart/stk-code,18-Oct-17,1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd,31-Oct-12,b1caec75a1d88b3797a73cdec121685fad7f1374,"""=-DCHECK_ASSETS=off""",
symengine/symengine,4-Oct-17,38781d745cab9bb45dd7358aa232031c8164eb44,21-Jul-12,ecf1914df4a94fd0a56013238f5b6f5a7da4060f,,
syndicodefront/infekt,3-Oct-17,e9cb001894913d3694431c88c6461a895a64a7a9,18-Oct-12,f0b561991b6a86ff16c79260da00930023d51fe1,,
taglib/taglib,30-Sep-17,cb9f07d9dcd791b63e622da43f7b232adaec0a9a,30-Sep-12,2d7414733eaa3263868c74abfa6cff38a8afe8d3,,
texus/TGUI,12-Jun-17,9e52329250317940daf636987b0985ada97f1de4,30-Jun-12,14b5bbd03cefb1ff03be64468c2b072c9af6942f,,
thesamet/rpcz,25-Mar-17,f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,5-Mar-12,0aa3f0227e795b840e989fc4abb0152e996e4df6,,
thewtex/tmux-mem-cpu-load,22-Apr-17,75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,25-Nov-12,c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,,
tpaviot/oce,11-Aug-17,41cc5b9007769de58fd7323a3c1ba729f2c0dc44,25-Aug-12,5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,,
tumi8/vermont,15-Jun-17,b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,23-Oct-12,c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,,
ukoethe/vigra,28-Jun-17,fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,29-Jun-12,5237e35507373218c38a7a57a131f0680f3e8a44,,
user-none/Sigil,16-Oct-17,18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,30-Oct-12,4d2586791f67e5042b81862483dedf35ae22474c,,
vcmi/vcmi,1-Nov-17,8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,30-Dec-12,2848fb6fef18ea869eb0584627747475f200f309,,
vinipsmaker/tufao,19-Oct-17,0832f657926b580877f9d707d9d766d35885e07d,23-Dec-12,09cbe4e23e793684bd382e56c11ac9cdae5611d0,,
wesnoth/wesnoth,18-Oct-17,9e58caa5ff608e845c21048d61fff3856d913a22,31-Oct-12,050fbf73706c1dbe6c86c3c784e7ef91984ecd00,,
xrootd/xrootd,18-Oct-17,a26c586cf9dd002d7655e834df5365daa083c5da,3-Oct-12,945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,,

